,Refnis,Place,Year,Month,dwellings,appartments,one-dwelling buildings,surface area
76,11001,AARTSELAAR,2018,5,2.0,2.0,0.0,2.0
77,11001,AARTSELAAR,2018,6,3.0,3.0,0.0,3.0
78,11001,AARTSELAAR,2018,7,1.0,5.0,5.0,0.0
79,11001,AARTSELAAR,2018,8,0.0,0.0,0.0,0.0
80,11001,AARTSELAAR,2018,9,3.0,3.0,0.0,3.0
81,11001,AARTSELAAR,2018,10,0.0,0.0,0.0,0.0
82,11001,AARTSELAAR,2018,11,2.0,5.0,4.0,1.0
83,11001,AARTSELAAR,2018,12,1.0,1.0,0.0,1.0
84,11001,AARTSELAAR,2019,1,1.0,6.0,6.0,0.0
85,11001,AARTSELAAR,2019,2,3.0,3.0,0.0,3.0
86,11001,AARTSELAAR,2019,3,1.0,1.0,0.0,1.0
87,11001,AARTSELAAR,2019,4,2.0,2.0,0.0,2.0
88,11001,AARTSELAAR,2019,5,3.0,3.0,0.0,3.0
89,11001,AARTSELAAR,2019,6,1.0,1.0,0.0,1.0
90,11001,AARTSELAAR,2019,7,1.0,1.0,0.0,1.0
91,11001,AARTSELAAR,2019,8,0.0,0.0,0.0,0.0
92,11001,AARTSELAAR,2019,9,7.0,17.0,11.0,6.0
93,11001,AARTSELAAR,2019,10,2.0,7.0,6.0,1.0
94,11001,AARTSELAAR,2019,11,5.0,5.0,0.0,5.0
95,11001,AARTSELAAR,2019,12,5.0,11.0,7.0,4.0
96,11001,AARTSELAAR,2020,1,3.0,3.0,0.0,3.0
97,11001,AARTSELAAR,2020,2,4.0,5.0,2.0,3.0
98,11001,AARTSELAAR,2020,3,2.0,2.0,0.0,2.0
99,11001,AARTSELAAR,2020,4,1.0,3.0,3.0,0.0
100,11001,AARTSELAAR,2020,5,1.0,10.0,10.0,0.0
101,11001,AARTSELAAR,2020,6,4.0,16.0,13.0,3.0
102,11001,AARTSELAAR,2020,7,1.0,1.0,0.0,1.0
103,11001,AARTSELAAR,2020,8,0.0,0.0,0.0,0.0
104,11001,AARTSELAAR,2020,9,2.0,8.0,7.0,1.0
105,11001,AARTSELAAR,2020,10,4.0,4.0,0.0,4.0
106,11001,AARTSELAAR,2020,11,4.0,4.0,0.0,4.0
107,11001,AARTSELAAR,2020,12,1.0,1.0,0.0,1.0
108,11001,AARTSELAAR,2021,1,2.0,10.0,9.0,1.0
109,11001,AARTSELAAR,2021,2,4.0,42.0,40.0,2.0
110,11001,AARTSELAAR,2021,3,8.0,19.0,14.0,5.0
111,11001,AARTSELAAR,2021,4,3.0,3.0,0.0,3.0
112,11001,AARTSELAAR,2021,5,2.0,2.0,0.0,2.0
113,11002,ANTWERPEN,2012,1,11.0,69.0,64.0,5.0
114,11002,ANTWERPEN,2012,2,18.0,160.0,148.0,12.0
115,11002,ANTWERPEN,2012,3,24.0,122.0,106.0,16.0
116,11002,ANTWERPEN,2012,4,6.0,43.0,40.0,3.0
117,11002,ANTWERPEN,2012,5,12.0,138.0,133.0,5.0
118,11002,ANTWERPEN,2012,6,15.0,87.0,82.0,5.0
119,11002,ANTWERPEN,2012,7,10.0,152.0,150.0,2.0
120,11002,ANTWERPEN,2012,8,26.0,95.0,84.0,11.0
121,11002,ANTWERPEN,2012,9,6.0,51.0,49.0,2.0
122,11002,ANTWERPEN,2012,10,12.0,82.0,79.0,3.0
123,11002,ANTWERPEN,2012,11,4.0,41.0,41.0,0.0
124,11002,ANTWERPEN,2012,12,10.0,26.0,19.0,7.0
125,11002,ANTWERPEN,2013,1,9.0,65.0,61.0,4.0
126,11002,ANTWERPEN,2013,2,13.0,93.0,87.0,6.0
127,11002,ANTWERPEN,2013,3,13.0,207.0,202.0,5.0
128,11002,ANTWERPEN,2013,4,11.0,96.0,92.0,4.0
129,11002,ANTWERPEN,2013,5,6.0,64.0,63.0,1.0
130,11002,ANTWERPEN,2013,6,25.0,349.0,342.0,7.0
131,11002,ANTWERPEN,2013,7,12.0,188.0,182.0,6.0
132,11002,ANTWERPEN,2013,8,11.0,107.0,102.0,5.0
133,11002,ANTWERPEN,2013,9,10.0,96.0,90.0,6.0
134,11002,ANTWERPEN,2013,10,21.0,92.0,82.0,10.0
135,11002,ANTWERPEN,2013,11,25.0,171.0,160.0,11.0
136,11002,ANTWERPEN,2013,12,14.0,138.0,135.0,3.0
137,11002,ANTWERPEN,2014,1,16.0,160.0,152.0,8.0
138,11002,ANTWERPEN,2014,2,22.0,114.0,100.0,14.0
139,11002,ANTWERPEN,2014,3,37.0,335.0,317.0,18.0
140,11002,ANTWERPEN,2014,4,29.0,462.0,454.0,8.0
141,11002,ANTWERPEN,2014,5,12.0,97.0,90.0,7.0
142,11002,ANTWERPEN,2014,6,26.0,82.0,63.0,19.0
143,11002,ANTWERPEN,2014,7,8.0,20.0,15.0,5.0
144,11002,ANTWERPEN,2014,8,20.0,22.0,3.0,19.0
145,11002,ANTWERPEN,2014,9,17.0,68.0,60.0,8.0
146,11002,ANTWERPEN,2014,10,12.0,21.0,13.0,8.0
147,11002,ANTWERPEN,2014,11,10.0,86.0,83.0,3.0
148,11002,ANTWERPEN,2014,12,7.0,85.0,83.0,2.0
149,11002,ANTWERPEN,2015,1,12.0,68.0,60.0,8.0
150,11002,ANTWERPEN,2015,2,19.0,187.0,180.0,7.0
151,11002,ANTWERPEN,2015,3,17.0,185.0,177.0,8.0
152,11002,ANTWERPEN,2015,4,16.0,177.0,172.0,5.0
153,11002,ANTWERPEN,2015,5,18.0,53.0,39.0,14.0
154,11002,ANTWERPEN,2015,6,9.0,147.0,144.0,3.0
155,11002,ANTWERPEN,2015,7,14.0,83.0,78.0,5.0
156,11002,ANTWERPEN,2015,8,12.0,262.0,257.0,5.0
157,11002,ANTWERPEN,2015,9,20.0,464.0,459.0,5.0
158,11002,ANTWERPEN,2015,10,28.0,171.0,157.0,14.0
159,11002,ANTWERPEN,2015,11,12.0,47.0,39.0,8.0
160,11002,ANTWERPEN,2015,12,37.0,77.0,45.0,32.0
161,11002,ANTWERPEN,2016,1,11.0,63.0,57.0,6.0
162,11002,ANTWERPEN,2016,2,10.0,193.0,188.0,5.0
163,11002,ANTWERPEN,2016,3,10.0,14.0,5.0,9.0
164,11002,ANTWERPEN,2016,4,20.0,302.0,297.0,5.0
165,11002,ANTWERPEN,2016,5,7.0,15.0,11.0,4.0
166,11002,ANTWERPEN,2016,6,10.0,57.0,52.0,5.0
167,11002,ANTWERPEN,2016,7,12.0,123.0,118.0,5.0
168,11002,ANTWERPEN,2016,8,5.0,37.0,35.0,2.0
169,11002,ANTWERPEN,2016,9,7.0,64.0,60.0,4.0
170,11002,ANTWERPEN,2016,10,6.0,11.0,6.0,5.0
171,11002,ANTWERPEN,2016,11,12.0,115.0,111.0,4.0
172,11002,ANTWERPEN,2016,12,8.0,256.0,251.0,5.0
173,11002,ANTWERPEN,2017,1,8.0,36.0,33.0,3.0
174,11002,ANTWERPEN,2017,2,9.0,28.0,21.0,7.0
175,11002,ANTWERPEN,2017,3,9.0,197.0,193.0,4.0
176,11002,ANTWERPEN,2017,4,14.0,76.0,65.0,11.0
177,11002,ANTWERPEN,2017,5,8.0,71.0,67.0,4.0
178,11002,ANTWERPEN,2017,6,8.0,71.0,67.0,4.0
179,11002,ANTWERPEN,2017,7,20.0,286.0,277.0,9.0
180,11002,ANTWERPEN,2017,8,11.0,27.0,21.0,6.0
181,11002,ANTWERPEN,2017,9,37.0,144.0,131.0,13.0
182,11002,ANTWERPEN,2017,10,46.0,359.0,337.0,22.0
183,11002,ANTWERPEN,2017,11,63.0,129.0,76.0,53.0
184,11002,ANTWERPEN,2017,12,19.0,310.0,303.0,7.0
185,11002,ANTWERPEN,2018,1,23.0,182.0,179.0,3.0
186,11002,ANTWERPEN,2018,2,27.0,36.0,22.0,14.0
187,11002,ANTWERPEN,2018,3,15.0,86.0,76.0,10.0
188,11002,ANTWERPEN,2018,4,34.0,153.0,139.0,14.0
189,11002,ANTWERPEN,2018,5,83.0,1033.0,975.0,58.0
190,11002,ANTWERPEN,2018,6,26.0,276.0,267.0,9.0
191,11002,ANTWERPEN,2018,7,29.0,70.0,51.0,19.0
192,11002,ANTWERPEN,2018,8,16.0,76.0,67.0,9.0
193,11002,ANTWERPEN,2018,9,21.0,52.0,37.0,15.0
194,11002,ANTWERPEN,2018,10,12.0,53.0,46.0,7.0
195,11002,ANTWERPEN,2018,11,21.0,381.0,372.0,9.0
196,11002,ANTWERPEN,2018,12,22.0,162.0,150.0,12.0
197,11002,ANTWERPEN,2019,1,7.0,26.0,21.0,5.0
198,11002,ANTWERPEN,2019,2,18.0,124.0,112.0,12.0
199,11002,ANTWERPEN,2019,3,20.0,136.0,126.0,10.0
200,11002,ANTWERPEN,2019,4,75.0,107.0,37.0,70.0
201,11002,ANTWERPEN,2019,5,13.0,101.0,90.0,11.0
202,11002,ANTWERPEN,2019,6,23.0,41.0,23.0,18.0
203,11002,ANTWERPEN,2019,7,10.0,144.0,139.0,5.0
204,11002,ANTWERPEN,2019,8,33.0,190.0,172.0,18.0
205,11002,ANTWERPEN,2019,9,30.0,72.0,46.0,26.0
206,11002,ANTWERPEN,2019,10,29.0,45.0,19.0,26.0
207,11002,ANTWERPEN,2019,11,22.0,62.0,51.0,11.0
208,11002,ANTWERPEN,2019,12,24.0,66.0,47.0,19.0
209,11002,ANTWERPEN,2020,1,24.0,50.0,32.0,18.0
210,11002,ANTWERPEN,2020,2,10.0,42.0,38.0,4.0
211,11002,ANTWERPEN,2020,3,51.0,129.0,87.0,42.0
212,11002,ANTWERPEN,2020,4,16.0,65.0,54.0,11.0
213,11002,ANTWERPEN,2020,5,40.0,135.0,105.0,30.0
214,11002,ANTWERPEN,2020,6,36.0,299.0,273.0,26.0
215,11002,ANTWERPEN,2020,7,10.0,20.0,13.0,7.0
216,11002,ANTWERPEN,2020,8,40.0,248.0,218.0,30.0
217,11002,ANTWERPEN,2020,9,16.0,174.0,168.0,6.0
218,11002,ANTWERPEN,2020,10,20.0,368.0,360.0,8.0
219,11002,ANTWERPEN,2020,11,16.0,198.0,193.0,5.0
220,11002,ANTWERPEN,2020,12,36.0,155.0,126.0,29.0
221,11002,ANTWERPEN,2021,1,30.0,129.0,108.0,21.0
222,11002,ANTWERPEN,2021,2,18.0,60.0,47.0,13.0
223,11002,ANTWERPEN,2021,3,43.0,103.0,65.0,38.0
224,11002,ANTWERPEN,2021,4,64.0,300.0,255.0,45.0
225,11002,ANTWERPEN,2021,5,13.0,47.0,39.0,8.0
226,11004,BOECHOUT,2012,1,1.0,1.0,0.0,1.0
227,11004,BOECHOUT,2012,2,3.0,4.0,2.0,2.0
228,11004,BOECHOUT,2012,3,0.0,0.0,0.0,0.0
229,11004,BOECHOUT,2012,4,1.0,1.0,0.0,1.0
230,11004,BOECHOUT,2012,5,3.0,3.0,0.0,3.0
231,11004,BOECHOUT,2012,6,0.0,0.0,0.0,0.0
232,11004,BOECHOUT,2012,7,1.0,1.0,0.0,1.0
233,11004,BOECHOUT,2012,8,1.0,5.0,5.0,0.0
234,11004,BOECHOUT,2012,9,2.0,4.0,3.0,1.0
235,11004,BOECHOUT,2012,10,2.0,27.0,27.0,0.0
236,11004,BOECHOUT,2012,11,12.0,15.0,4.0,11.0
237,11004,BOECHOUT,2012,12,2.0,2.0,0.0,2.0
238,11004,BOECHOUT,2013,1,1.0,1.0,0.0,1.0
239,11004,BOECHOUT,2013,2,4.0,4.0,0.0,4.0
240,11004,BOECHOUT,2013,3,4.0,4.0,0.0,4.0
241,11004,BOECHOUT,2013,4,5.0,33.0,33.0,0.0
242,11004,BOECHOUT,2013,5,1.0,4.0,4.0,0.0
243,11004,BOECHOUT,2013,6,0.0,0.0,0.0,0.0
244,11004,BOECHOUT,2013,7,2.0,2.0,0.0,2.0
245,11004,BOECHOUT,2013,8,0.0,0.0,0.0,0.0
246,11004,BOECHOUT,2013,9,3.0,17.0,15.0,2.0
247,11004,BOECHOUT,2013,10,0.0,0.0,0.0,0.0
248,11004,BOECHOUT,2013,11,3.0,61.0,60.0,1.0
249,11004,BOECHOUT,2013,12,2.0,3.0,2.0,1.0
250,11004,BOECHOUT,2014,1,2.0,21.0,20.0,1.0
251,11004,BOECHOUT,2014,2,0.0,0.0,0.0,0.0
252,11004,BOECHOUT,2014,3,1.0,1.0,0.0,1.0
253,11004,BOECHOUT,2014,4,1.0,1.0,0.0,1.0
254,11004,BOECHOUT,2014,5,1.0,18.0,18.0,0.0
255,11004,BOECHOUT,2014,6,2.0,2.0,0.0,2.0
256,11004,BOECHOUT,2014,7,2.0,2.0,0.0,2.0
257,11004,BOECHOUT,2014,8,0.0,0.0,0.0,0.0
258,11004,BOECHOUT,2014,9,1.0,1.0,0.0,1.0
259,11004,BOECHOUT,2014,10,1.0,1.0,0.0,1.0
260,11004,BOECHOUT,2014,11,0.0,0.0,0.0,0.0
261,11004,BOECHOUT,2014,12,1.0,1.0,0.0,1.0
262,11004,BOECHOUT,2015,1,3.0,3.0,0.0,3.0
263,11004,BOECHOUT,2015,2,4.0,4.0,0.0,4.0
264,11004,BOECHOUT,2015,3,1.0,1.0,0.0,1.0
265,11004,BOECHOUT,2015,4,4.0,23.0,20.0,3.0
266,11004,BOECHOUT,2015,5,1.0,1.0,0.0,1.0
267,11004,BOECHOUT,2015,6,3.0,4.0,2.0,2.0
268,11004,BOECHOUT,2015,7,0.0,0.0,0.0,0.0
269,11004,BOECHOUT,2015,8,1.0,18.0,18.0,0.0
270,11004,BOECHOUT,2015,9,1.0,1.0,0.0,1.0
271,11004,BOECHOUT,2015,10,2.0,16.0,15.0,1.0
272,11004,BOECHOUT,2015,11,6.0,8.0,3.0,5.0
273,11004,BOECHOUT,2015,12,0.0,0.0,0.0,0.0
274,11004,BOECHOUT,2016,1,1.0,1.0,0.0,1.0
275,11004,BOECHOUT,2016,2,1.0,1.0,0.0,1.0
276,11004,BOECHOUT,2016,3,32.0,69.0,39.0,30.0
277,11004,BOECHOUT,2016,4,0.0,0.0,0.0,0.0
278,11004,BOECHOUT,2016,5,0.0,0.0,0.0,0.0
279,11004,BOECHOUT,2016,6,0.0,0.0,0.0,0.0
280,11004,BOECHOUT,2016,7,1.0,1.0,0.0,1.0
281,11004,BOECHOUT,2016,8,2.0,2.0,0.0,2.0
282,11004,BOECHOUT,2016,9,1.0,1.0,0.0,1.0
283,11004,BOECHOUT,2016,10,3.0,10.0,9.0,1.0
284,11004,BOECHOUT,2016,11,3.0,4.0,2.0,2.0
285,11004,BOECHOUT,2016,12,1.0,1.0,0.0,1.0
286,11004,BOECHOUT,2017,1,2.0,11.0,10.0,1.0
287,11004,BOECHOUT,2017,2,1.0,1.0,0.0,1.0
288,11004,BOECHOUT,2017,3,21.0,47.0,29.0,18.0
289,11004,BOECHOUT,2017,4,1.0,1.0,0.0,1.0
290,11004,BOECHOUT,2017,5,0.0,0.0,0.0,0.0
291,11004,BOECHOUT,2017,6,0.0,0.0,0.0,0.0
292,11004,BOECHOUT,2017,7,17.0,17.0,0.0,17.0
293,11004,BOECHOUT,2017,8,3.0,3.0,0.0,3.0
294,11004,BOECHOUT,2017,9,1.0,1.0,0.0,1.0
295,11004,BOECHOUT,2017,10,5.0,22.0,20.0,2.0
296,11004,BOECHOUT,2017,11,6.0,33.0,29.0,4.0
297,11004,BOECHOUT,2017,12,1.0,,,0.0
298,11004,BOECHOUT,2018,1,18.0,20.0,3.0,17.0
299,11004,BOECHOUT,2018,2,1.0,2.0,2.0,0.0
300,11004,BOECHOUT,2018,3,8.0,14.0,8.0,6.0
301,11004,BOECHOUT,2018,4,3.0,8.0,6.0,2.0
302,11004,BOECHOUT,2018,5,15.0,54.0,42.0,12.0
303,11004,BOECHOUT,2018,6,3.0,19.0,18.0,1.0
304,11004,BOECHOUT,2018,7,4.0,13.0,11.0,2.0
305,11004,BOECHOUT,2018,8,0.0,0.0,0.0,0.0
306,11004,BOECHOUT,2018,9,2.0,9.0,8.0,1.0
307,11004,BOECHOUT,2018,10,2.0,21.0,20.0,1.0
308,11004,BOECHOUT,2018,11,1.0,1.0,0.0,1.0
309,11004,BOECHOUT,2018,12,1.0,1.0,0.0,1.0
310,11004,BOECHOUT,2019,1,2.0,2.0,0.0,2.0
311,11004,BOECHOUT,2019,2,2.0,2.0,0.0,2.0
312,11004,BOECHOUT,2019,3,12.0,12.0,0.0,12.0
313,11004,BOECHOUT,2019,4,8.0,8.0,0.0,8.0
314,11004,BOECHOUT,2019,5,1.0,1.0,0.0,1.0
315,11004,BOECHOUT,2019,6,4.0,4.0,0.0,4.0
316,11004,BOECHOUT,2019,7,1.0,1.0,0.0,1.0
317,11004,BOECHOUT,2019,8,13.0,13.0,0.0,13.0
318,11004,BOECHOUT,2019,9,2.0,2.0,0.0,2.0
319,11004,BOECHOUT,2019,10,2.0,2.0,0.0,2.0
320,11004,BOECHOUT,2019,11,4.0,21.0,19.0,2.0
321,11004,BOECHOUT,2019,12,0.0,0.0,0.0,0.0
322,11004,BOECHOUT,2020,1,1.0,1.0,0.0,1.0
323,11004,BOECHOUT,2020,2,1.0,1.0,0.0,1.0
324,11004,BOECHOUT,2020,3,2.0,2.0,0.0,2.0
325,11004,BOECHOUT,2020,4,2.0,2.0,0.0,2.0
326,11004,BOECHOUT,2020,5,1.0,1.0,0.0,1.0
327,11004,BOECHOUT,2020,6,1.0,1.0,0.0,1.0
328,11004,BOECHOUT,2020,7,2.0,2.0,0.0,2.0
329,11004,BOECHOUT,2020,8,0.0,0.0,0.0,0.0
330,11004,BOECHOUT,2020,9,5.0,5.0,0.0,5.0
331,11004,BOECHOUT,2020,10,1.0,1.0,0.0,1.0
332,11004,BOECHOUT,2020,11,0.0,0.0,0.0,0.0
333,11004,BOECHOUT,2020,12,4.0,4.0,0.0,4.0
334,11004,BOECHOUT,2021,1,0.0,0.0,0.0,0.0
335,11004,BOECHOUT,2021,2,3.0,16.0,14.0,2.0
336,11004,BOECHOUT,2021,3,5.0,7.0,3.0,4.0
337,11004,BOECHOUT,2021,4,6.0,7.0,2.0,5.0
338,11004,BOECHOUT,2021,5,2.0,2.0,0.0,2.0
339,11005,BOOM,2012,1,1.0,1.0,0.0,1.0
340,11005,BOOM,2012,2,0.0,0.0,0.0,0.0
341,11005,BOOM,2012,3,3.0,16.0,14.0,2.0
342,11005,BOOM,2012,4,1.0,1.0,0.0,1.0
343,11005,BOOM,2012,5,1.0,1.0,0.0,1.0
344,11005,BOOM,2012,6,2.0,31.0,31.0,0.0
345,11005,BOOM,2012,7,1.0,6.0,6.0,0.0
346,11005,BOOM,2012,8,0.0,0.0,0.0,0.0
347,11005,BOOM,2012,9,0.0,0.0,0.0,0.0
348,11005,BOOM,2012,10,0.0,0.0,0.0,0.0
349,11005,BOOM,2012,11,0.0,0.0,0.0,0.0
350,11005,BOOM,2012,12,0.0,0.0,0.0,0.0
351,11005,BOOM,2013,1,1.0,1.0,0.0,1.0
352,11005,BOOM,2013,2,2.0,35.0,34.0,1.0
353,11005,BOOM,2013,3,1.0,4.0,4.0,0.0
354,11005,BOOM,2013,4,2.0,2.0,0.0,2.0
355,11005,BOOM,2013,5,0.0,0.0,0.0,0.0
356,11005,BOOM,2013,6,1.0,1.0,0.0,1.0
357,11005,BOOM,2013,7,1.0,1.0,0.0,1.0
358,11005,BOOM,2013,8,0.0,0.0,0.0,0.0
359,11005,BOOM,2013,9,0.0,0.0,0.0,0.0
360,11005,BOOM,2013,10,1.0,1.0,0.0,1.0
361,11005,BOOM,2013,11,0.0,0.0,0.0,0.0
362,11005,BOOM,2013,12,1.0,3.0,3.0,0.0
363,11005,BOOM,2014,1,0.0,0.0,0.0,0.0
364,11005,BOOM,2014,2,0.0,0.0,0.0,0.0
365,11005,BOOM,2014,3,0.0,0.0,0.0,0.0
366,11005,BOOM,2014,4,7.0,26.0,20.0,6.0
367,11005,BOOM,2014,5,2.0,2.0,0.0,2.0
368,11005,BOOM,2014,6,0.0,0.0,0.0,0.0
369,11005,BOOM,2014,7,1.0,1.0,0.0,1.0
370,11005,BOOM,2014,8,0.0,0.0,0.0,0.0
371,11005,BOOM,2014,9,0.0,0.0,0.0,0.0
372,11005,BOOM,2014,10,1.0,1.0,0.0,1.0
373,11005,BOOM,2014,11,0.0,0.0,0.0,0.0
374,11005,BOOM,2014,12,2.0,18.0,18.0,0.0
375,11005,BOOM,2015,1,0.0,0.0,0.0,0.0
376,11005,BOOM,2015,2,5.0,5.0,0.0,5.0
377,11005,BOOM,2015,3,2.0,2.0,0.0,2.0
378,11005,BOOM,2015,4,1.0,1.0,0.0,1.0
379,11005,BOOM,2015,5,0.0,0.0,0.0,0.0
380,11005,BOOM,2015,6,1.0,44.0,44.0,0.0
381,11005,BOOM,2015,7,1.0,3.0,3.0,0.0
382,11005,BOOM,2015,8,0.0,0.0,0.0,0.0
383,11005,BOOM,2015,9,0.0,0.0,0.0,0.0
384,11005,BOOM,2015,10,1.0,4.0,4.0,0.0
385,11005,BOOM,2015,11,1.0,1.0,0.0,1.0
386,11005,BOOM,2015,12,0.0,0.0,0.0,0.0
387,11005,BOOM,2016,1,1.0,4.0,4.0,0.0
388,11005,BOOM,2016,2,1.0,1.0,0.0,1.0
389,11005,BOOM,2016,3,2.0,2.0,0.0,2.0
390,11005,BOOM,2016,4,9.0,38.0,31.0,7.0
391,11005,BOOM,2016,5,0.0,0.0,0.0,0.0
392,11005,BOOM,2016,6,0.0,0.0,0.0,0.0
393,11005,BOOM,2016,7,4.0,8.0,5.0,3.0
394,11005,BOOM,2016,8,2.0,4.0,3.0,1.0
395,11005,BOOM,2016,9,1.0,1.0,0.0,1.0
396,11005,BOOM,2016,10,1.0,1.0,0.0,1.0
397,11005,BOOM,2016,11,1.0,4.0,4.0,0.0
398,11005,BOOM,2016,12,1.0,18.0,18.0,0.0
399,11005,BOOM,2017,1,9.0,159.0,157.0,2.0
400,11005,BOOM,2017,2,0.0,0.0,0.0,0.0
401,11005,BOOM,2017,3,0.0,0.0,0.0,0.0
402,11005,BOOM,2017,4,0.0,0.0,0.0,0.0
403,11005,BOOM,2017,5,0.0,0.0,0.0,0.0
404,11005,BOOM,2017,6,0.0,0.0,0.0,0.0
405,11005,BOOM,2017,7,0.0,0.0,0.0,0.0
406,11005,BOOM,2017,8,4.0,3.0,0.0,3.0
407,11005,BOOM,2017,9,1.0,1.0,0.0,1.0
408,11005,BOOM,2017,10,1.0,1.0,0.0,1.0
